"","GID","BRNHT1","CGMS1","DM","HI","logFYLD","logRTNO","logTOPYLD","MCMDS","GeneticGroup"
"40","COB474:250107927",-0.66081098261226,0.0267687737872079,0.960850955784012,0.00419790730787093,-0.0110008563461369,0.0239996695998656,-0.0382333628365184,0.032511486588582,"TrainingPop"
"41","COB475:250107987",-1.03140178624201,0.0110901965450541,0.378089332419671,0.00548146792132846,0.0336608458310556,0.0709513224408409,0.00380111493940704,-0.047292143876207,"TrainingPop"
"42","COB477:250107933",-0.359254225959885,0.0312852165689414,1.67049417079033,0.00176127866722579,-0.0393189333045857,-0.0245221211902793,-0.0630073099610218,0.00497469285089421,"TrainingPop"
"43","COB479:250107962",0.469592807553428,0.0116184148753117,0.607988021021028,0.0057130966697261,-0.00180052266225346,0.0367702886243622,-0.0446053292384666,-0.0604815864022496,"TrainingPop"
"44","COB5104:250107932",-1.13665862594166,-0.002644598330508,0.286512042826567,-0.0129995903119325,-0.0411056510711724,-0.0190917290401242,-0.0368663601317898,-0.00613768844189358,"TrainingPop"
"45","COB511:250399801",2.16239397691983,0.0221662440274554,1.02868401060742,0.00746775722835475,-0.0311131551815982,0.0166854213209519,-0.0747257156511288,-0.0602394701981587,"TrainingPop"
"46","COB512:250107916",2.13522270764337,0.0219928766758417,1.04265967071728,0.00849572740333303,-0.0293098794726893,0.0158972685320687,-0.0716760047009605,-0.0621637535988068,"TrainingPop"
"47","COB517:250107949",-0.734406155559484,0.00813105844056086,0.712379510093838,0.00888161389581557,0.0386567368411941,0.0681081991174617,-0.0105749807978624,-0.0468147962305399,"TrainingPop"
"48","COB524:250107937",0.903077172501513,-0.0647542769974884,0.118420700854198,0.00731437326346137,0.0436500188546641,0.0401642389611388,0.00453159967592605,-0.0666234518710696,"TrainingPop"
"49","COB528:250107939",-2.69248716830879,0.0104105290389438,0.470214357725458,-0.000905448032317827,0.0312650864617267,0.0574245190914761,0.0327364553715093,-0.0598970094817298,"TrainingPop"
"50","COB536:250134468",-0.954468677435292,-0.000662490120698259,1.66969071257099,0.0202033810009814,0.020016653852513,0.0588024511387987,-0.0490705474095423,-0.0720204819272859,"TrainingPop"
"51","COB54:250107982",-0.782808706699491,0.000412498374300267,1.69696303871829,0.0178722897979022,0.019215531086509,0.0618369752098371,-0.0457958948277526,-0.0698071914659375,"TrainingPop"
"52","COB544:250107930",0.831585657176871,-0.0669385697489418,0.114864449488508,0.0070286004139049,0.04431654533607,0.0427418529509049,0.00711721726827083,-0.0635833966334466,"TrainingPop"
"53","COB548:250107988",2.23149583502856,0.023324499545643,1.025778201612,0.00721653263164162,-0.0348590570799035,0.0178180873320904,-0.0754688767085887,-0.05963427037861,"TrainingPop"
"54","COB553:250107966",2.05734891877003,0.0173876187385083,1.01828515204859,0.00480089879949726,-0.0334183810858419,0.0148597991875389,-0.0713652240947936,-0.0506817400211692,"TrainingPop"
"55","COB557:250107999",-1.99659086362456,0.0392480759537361,0.459132930048168,-0.000505085021939339,0.00266399268087284,0.0314938836162963,-0.00873778001027766,-0.0107439089484717,"TrainingPop"
"56","COB561:250107915",-0.866834533086501,0.00918285847625126,0.625189912672923,-0.00151696844387285,-0.0218700998479953,-0.0156077530805652,-0.0423941327630765,-0.0213365743220077,"TrainingPop"
"57","COB61:250108001",-0.697007382790683,-0.00514579946100816,0.199753208111264,-0.00812610263160495,0.00512773021474854,-0.00614732835593872,0.00863164479826598,0.0151534490118388,"TrainingPop"
"58","COB619:250107990",-1.02086074897523,-0.0244696371627208,0.583060188302825,0.00318279939391838,0.000964763441219172,0.0583529215441924,-0.00706933076982814,-0.0455399523722628,"TrainingPop"
"59","COB631:250107921",-1.02227960087365,0.0425739234309098,1.29451204186765,0.0087957985198397,0.00430434482516322,0.00854895626194746,-0.0573603744448645,0.0534022712784272,"TrainingPop"
"60","COB641:250107985",-0.144914129747366,-0.0512153431872696,0.861892319252226,-0.00843319090856858,-0.0431761145867197,-0.0266301109052896,-0.0581965222099182,0.0301287801690655,"TrainingPop"
"61","COB7180:250107993",-0.0608699736861554,0.000639648074855774,-0.230352059218063,-0.0047706917918684,0.0263921082572735,-0.0174398189491536,0.0418225871733513,0.00861541918133181,"TrainingPop"
"62","COB7197:250107956",-0.457970753421595,0.0648826540648677,-0.711595604534621,-0.0106490186093679,-0.00182449316285994,-0.0398912465767906,0.05244363775026,0.0175866838358464,"TrainingPop"
"63","COB725:250108000",-0.291598373858566,0.0554057322824521,-0.376237564492932,0.0202961173338161,0.0295927256163259,0.00570269811788914,-0.0157102663026319,0.0636824321691626,"TrainingPop"
"64","CPCR11BP16:250368006",0.116934516486673,-0.0739387369089125,0.765370488256214,0.00676122985217389,-0.0184444008650467,-0.0215147107518824,-0.0230484346916593,0.0450886314122409,"TrainingPop"
"65","CPCR11BP8:250399720",-2.40892622726177,0.0503282833757153,-2.19022466597374,-0.0127561694948795,-0.0560296006873171,0.0185375242755276,0.00519311471485096,0.162377508515261,"TrainingPop"
"66","CPCR12BP9:250367992",0.271140517618919,-0.0752022063974636,1.08294734450167,-0.00181166238100265,-0.0379411787586363,-0.0121368513166811,-0.0320368354826677,-0.00894308304964757,"TrainingPop"
"67","CPCR15BP16:250368009",0.153099756734254,-0.0837610772066656,1.02341556513687,0.00646409053613371,-0.0199882159653991,-0.0192662766817328,-0.0242531480927026,0.0547978700698555,"TrainingPop"
"68","CPCR15BP67:250367991",0.0201507240738498,-0.0749052475583767,0.850424745537282,0.00445365020436651,-0.0179268631701617,-0.0213572496050795,-0.0185157317206642,0.0370722225995392,"TrainingPop"
"69","CPCR15BP7:250399758",0.318108835049882,-0.0931100190057341,0.532911092864261,-0.0232656551072562,-0.0697751007343501,-0.0549106482167156,0.00891742420948786,0.0339607037457519,"TrainingPop"
"70","CPCR15BP88:250399795",0.317495353564816,-0.0968465152530663,0.582442934337838,-0.0208967104933991,-0.0617204082789162,-0.029885884071786,0.00845438213850763,0.0230704013691076,"TrainingPop"
"71","CPCR15BP89:250368030",0.540066222615426,-0.128147792710557,0.31005729362981,-0.013612674741845,-0.0563344728082734,-0.026949835951207,-0.00170192994712488,-0.00615024950418474,"TrainingPop"
"72","CPCR17BP2:250368002",1.19176283904349,-0.122021386715459,0.704627486243413,-0.0100263848685277,-0.0241694855256341,-0.00730810423589545,0.027514908215148,-0.00191298398337409,"TrainingPop"
"73","CPCR22BP15:250368008",-0.36454788491384,-0.066421518518071,0.101507917887282,-0.0025964673819911,-0.0308898828573427,-0.0360533316237099,-0.00581816598444426,0.0381108076977926,"TrainingPop"
"74","CPCR24BP1:250367994",0.403876399411199,-0.0562758022064202,1.28110316576556,0.000808709667916976,-0.0244931021632627,-0.00307682755430582,-0.0319663658136589,-0.0345463141350558,"TrainingPop"
"75","CPCR24BP12:250368003",0.123145903396294,-0.104816876690638,0.667583385844806,-0.0101408029787225,-0.0614691509957263,-0.037170317944804,-0.0304429037899537,-0.0214877014802458,"TrainingPop"
"76","CPCR24BP16:250368011",0.315507361341309,-0.0903051404708402,0.81547433059378,0.00485760036573384,-0.0214332200796933,-0.0212475372268531,-0.0209088325555403,0.0472280034031404,"TrainingPop"
"77","CPCR26BP27:250368025",-0.169456053522409,-0.0807674424847269,0.600606048742524,-0.00922865720362851,-0.0484502601232352,0.0134049557349673,-0.00889760730849824,-0.00576751497555769,"TrainingPop"
"78","CPCR27BP14:250368024",0.649894058100901,-0.0735765419200901,0.53324757566876,-0.00574097070289597,-0.0483235198363789,-0.0281458747316261,-0.0361122209524684,0.106280812629924,"TrainingPop"
"79","CPCR27BP30:250368023",-0.100757419017832,-0.057382686280035,0.735848816901412,-0.0157594340610992,-0.0776062336161325,-0.0489285402378388,-0.0359366139918924,-0.00892708608638622,"TrainingPop"
