"Dataset","Group","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP",0.163306461658222,-0.0242454982956359,-0.141918834021607,1.46239068745293,-6.3024148371655,2.0113485024671,0.0206622847234821,0.126118678628344,0.0517828327561025,0.233638024161792
"IITAaugmented","nrTP",0.232360777609987,0.0650624565073804,0.00600309372598909,3.16311403600034,-2.95772801166874,-3.31461905502367,-0.021848330193075,-0.0368496572112287,-0.0132383060289096,-0.0300381942334673
"IITAaugmented","nrTP",0.0274708374727927,0.0377801752276833,-0.066753292047983,1.97695080709234,13.9111079986796,-2.48284273866141,-0.00545059137408816,0.108325065145392,0.0513633035986946,0.253694756316989
"IITAaugmented","nrTP",0.133969251337868,0.10500720274561,-0.0486444776145047,0.523141329871533,-1.43828031567871,-7.9433876436755,-0.04708506260312,-0.211434929330004,-0.0234743371791439,-0.0866627394350437
"IITAaugmented","nrTP",0.00266814736350752,0.0263430989482433,-0.0277517580742371,2.3331435040657,12.7629139825733,1.46745878374372,0.00348367963744851,-0.0558947157533347,-0.0809710811819294,0.146456175195859
"IITAaugmented","nrTP",0.0311831169546436,0.0457527570201145,-0.0423590869020039,2.36721454037761,13.3371106229325,2.69077104917471,0.0029005339848604,-0.0930389438619432,-0.0999632731679735,0.130187581280071
"IITAaugmented","nrTP",-0.32122674211546,-0.151372912219155,0.0625641213201201,0.918017071040662,17.4323864362315,-13.2432430961299,-0.00116952600011933,0.172917326814882,0.115006548642104,0.246547636691848
"IITAaugmented","nrTP",-0.246945264080628,-0.0221015974572552,-0.134556993603761,0.333588016836932,5.92030061704102,-0.0560785349661268,0.0290432085000343,0.190866861960992,0.0746435046624202,0.205943905706999
"IITAaugmented","nrTP",0.178563224009595,-0.00925300990049774,-0.188331368068065,1.45355425370679,-10.5629313026474,-8.24230892024496,0.0207082194685796,0.0738434033544507,0.0494571304023423,0.175701006056615
"IITAaugmented","nrTP",-0.021798772277731,0.0550457690333061,-0.220243682492373,3.10650352619995,6.14986993632347,-2.05537494087769,0.0214304797241608,0.0762521422750492,-0.0333645958927059,0.138128629178319
"IITAaugmented","nrTP",-0.0143755838707385,0.0246760655853788,-0.20724598799521,2.9869180575686,10.8456175455331,1.48283853727029,0.0127563342503108,0.0709495042165514,-0.0160873865666424,0.138489745160657
"IITAaugmented","nrTP",-0.200779072742099,-0.00870728572572736,-0.127306079577663,0.359718757105005,6.42473296678681,-0.850696269066667,0.0296720673857654,0.190694710904175,0.0796209698175881,0.220172126356455
"IITAaugmented","nrTP",0.00524358697008814,-0.00433491727007477,-0.0373071647090515,2.18809929899743,15.0938896926351,2.39813825118417,-0.00156259119503405,-0.067169061857049,-0.0794908691202052,0.138691914639651
"IITAaugmented","nrTP",-0.0399626183241769,0.0207063986513084,-0.0348078972446868,2.16718693754424,12.205579863038,1.93118974903579,-0.0126468298170874,-0.0994603874296627,-0.0815281424675173,0.118456156465292
"IITAaugmented","nrTP",0.0806996995901378,0.0392135375020472,-0.0605075564011265,1.16046946930127,-3.57464229578022,-7.4696503334519,-0.0123799053393268,-0.0322046592095174,-0.00655194374172789,0.0699414045476844
"IITAaugmented","nrTP",0.393236878642499,0.0757279181034256,-0.0254085972801729,1.85288827168456,-6.52796394808619,6.20070499758908,0.013908342358351,-0.0348957309401731,-0.0719372927946888,0.0171350107242777
"IITAaugmented","nrTP",0.127948318539742,-0.00615214006458964,-0.0733041294038381,0.157712327409832,5.14875778156348,1.7774062127995,-0.0155453663192682,0.0828527877116731,0.124198883222499,0.053429194952332
"IITAaugmented","nrTP",-0.117551056066524,0.0127526736810985,-0.0194101152537486,1.04037814320011,-4.73735607559131,-2.50482513310504,0.00336334055841163,-0.0520580182549945,-0.0666239693277399,-0.01070627326178
"IITAaugmented","nrTP",0.41773352522125,0.0712947668451646,0.208258013214338,3.12257843223236,-1.97559797695101,-1.78521881316081,0.0184420131755567,0.0560092511149601,-0.0474885601710993,0.0422077303109727
"IITAaugmented","nrTP",0.0523813731260857,-0.0401303506810243,0.0149176233918738,1.8295056313577,5.47566034886134,-2.64661811144923,-0.0329903840606632,-0.0827932399123448,-0.0129715853767747,0.0466493939961693
"IITAaugmented","nrTP",0.0559724669991659,-0.120257992397611,0.111715481895121,0.261141103479412,4.8427549927368,1.28332457645747,0.00906789623672585,0.0746973989931672,0.0322524187181458,-0.000887082595965621
