"Dataset","Group","GID","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP","B9200068:250304480",-0.224821048182551,-0.117309479748854,-0.148304141284086,-0.30592649084649,-3.52650603197298,-4.24144032485824,0.0497004372321017,0.241659733322512,0.0598807785582942,0.093282058291829
"IITAaugmented","nrTP","B92033:250304499",-0.225310558910677,-0.0749226280822512,-0.183081099363172,0.255684537688607,-1.3361499219311,-4.63120158724526,0.0239939788898161,0.28475490210115,0.130757468498352,0.253615129911224
"IITAaugmented","nrTP","BA95070:250300598",0.0702376162421805,0.0340668798134898,0.0628553384061219,0.544046824092176,4.12161989457258,-1.76604279107728,0.0726668312757158,0.0217169739680167,-0.215466602052878,0.0540458569975214
"IITAaugmented","nrTP","BAHKYEHEMAA:250304601",0.111980324119476,0.0226050337749466,-0.339874645510756,5.07762745617177,-6.1474295247886,5.34883251944232,0.00854557337174943,0.0278676467922146,-0.0407844274918132,0.0689323183207891
"IITAaugmented","nrTP","BANGWEULU:250304615",0.0672417523077532,0.0431974027824367,0.377919783386286,1.84964205338412,7.62697655343776,5.5687024949778,-0.0508178552909733,-0.36510587823437,-0.247818384070955,-0.29328979554528
"IITAaugmented","nrTP","BEN86052_4X_:250304661",-0.248338622908606,-0.114124477501881,-0.197786216069179,0.97695690048432,-0.941500654965567,-3.95773177857644,0.0187965032104348,0.130729620934898,0.0606711691618181,0.0433382463561873
"IITAaugmented","nrTP","BEN86052:250304593",-0.243766953453914,-0.112811071670898,-0.192491907353089,0.838143311833759,-1.2065995518842,-3.66684584912198,0.0189638211042318,0.139696779697089,0.070082345223164,0.0431113347876036
"IITAaugmented","nrTP","BOUNOUA_BLANC:250304585",-0.0427369454657961,-0.0048679412333952,0.214270143232685,0.720311416290303,2.28632352416463,6.87665146356604,-0.0500366902810551,-0.381191902234085,-0.230862059479482,-0.386849277890905
"IITAaugmented","nrTP","CARICASS_II:250304592",0.103566323194437,0.0237178393507728,0.37943244984412,-0.847086738761975,7.79000607796506,8.13582437282035,0.0219505304217695,0.0867374440699924,-0.0160574008386934,0.0565179966237474
"IITAaugmented","nrTP","CARICASS1:250399778",0.0491042175077347,0.0115043615635745,0.105188352450268,0.294156651126102,11.0686671146159,6.95940462853389,-0.0115618648452207,-0.0586783986249877,-0.0785489749534027,0.0292544603868335
"IITAaugmented","nrTP","CH92108:250090858",0.197294691422989,0.127929239879114,-0.0180426537928788,2.15573157538536,-10.5632930660327,2.89375102825181,0.0311195355643685,0.118507679163369,-0.0270511499165694,0.122066728997074
"IITAaugmented","nrTP","CO08002:250399753",0.163234078225751,0.0750733296620557,0.179486157102037,-3.51353047439563,3.43763928903857,-5.2005837499401,-0.0211203709868378,-0.184085718753855,-0.0843594969043322,-0.089663724493744
"IITAaugmented","nrTP","CO08016:250399755",-0.141446823510846,-0.0263237157716132,-0.0188747216272125,-0.181769706294196,-4.65516227594097,-0.0027572645613988,-0.0270573062529561,-0.121766071346082,-0.116211580423759,-0.170863890460732
"IITAaugmented","nrTP","CO08019:250368001",0.0766021756907378,0.0708753006851852,0.138263637571602,-3.4809008952918,9.18751132884775,-2.16817832653552,-0.00195290430247419,-0.00546944635761751,-0.0319833800940303,0.0605852177864326
"IITAaugmented","nrTP","CO08020:250367980",0.0715609536639887,0.0256989915723092,0.249396272249817,-6.37692186476055,0.748205869748327,-9.1541648348507,0.00332231228231846,-0.118215070619381,-0.124882369865941,-0.0742488613600999
"IITAaugmented","nrTP","COB1103:250107963",0.104703070013375,0.0420222411468836,0.11709676836154,1.15666901927226,6.5390493432159,4.51842514393993,0.00960181315269053,-0.0181980077442733,-0.0956348309195084,0.0625904394713176
"IITAaugmented","nrTP","COB1139:250107922",0.186875347698182,0.0587840947253383,0.130954142329085,-1.14831068363867,5.82214993470225,0.703922824923829,-0.0184782791661968,-0.0189913739877649,0.0463431052768784,-0.0413735274084836
"IITAaugmented","nrTP","COB1163:250107931",0.209010718592853,0.0302862890330504,0.177442576439779,-0.596518574359354,3.75760622535755,-1.74180078396861,0.00704362346053105,-0.00754092172801166,-0.0302857589311723,0.0617301212258849
"IITAaugmented","nrTP","COB4100:250107907",-0.0435633826259965,0.0234987456260089,-0.14524788207911,0.346548898151633,-5.24539206972405,-3.77163615875464,0.031603117554399,0.116022800987011,-0.00838904553506278,0.142207517821831
"IITAaugmented","nrTP","COB427:250107965",0.127940517208339,0.00225787624933558,-0.325283632257015,1.42907510673594,-0.0734884450467355,-8.53087609832792,0.034627477507799,0.218497508745945,0.0927524751814293,0.174287257166503
"IITAaugmented","nrTP","COB452:250107909",0.108308911330623,-0.00929502772089978,-0.0848398367698779,0.715326140172324,-2.96909886897142,-4.96234003335389,0.0218481005061927,0.0085376083816413,-0.0788203881997827,0.0974803115740897
"IITAaugmented","nrTP","COB474:250107927",0.277206977455503,0.0602008247820465,-0.103778079676063,2.75817061639347,-6.91377941362004,-2.59439871828925,0.0179232739306834,-0.0260791657202569,-0.0663400182772518,0.064872888740838
"IITAaugmented","nrTP","COB475:250107987",0.0948065306000646,-0.00747890929968111,-0.185154564353117,1.33382144282265,-4.19533503095572,-1.14071254177096,0.0172268850225241,0.0931241951353365,0.042723689560591,0.178914336522718
"IITAaugmented","nrTP","COB477:250107933",0.203545019093024,0.0512368747683509,0.00110429443988846,3.46970088757739,-4.09050283140607,-3.0315828316986,-0.0029553679879825,-0.0281309344855601,-0.0605270029511096,-0.00368519421880211
"IITAaugmented","nrTP","COB479:250107962",0.063005213770288,0.0254985900516538,-0.0960441743114202,1.64191840605409,5.97798612423539,-0.891022532391714,0.00197271266169422,0.0119514652212914,-0.0329535153351862,0.152279115407796
"IITAaugmented","nrTP","COB5104:250107932",0.117539005788059,0.0586878299641824,-0.108474121611346,0.149282463467604,-2.30584719914905,-7.08314622224634,-0.0223338019313434,-0.09463746576135,-0.0132633762973897,0.0125649005598944
"IITAaugmented","nrTP","COB511:250399801",0.0229084013071725,0.00214001393129112,-0.0300386653237089,2.39307520956035,6.74505299156808,4.43856375827367,0.0111480528627503,-0.048865054640776,-0.10030838673813,0.133052138335124
"IITAaugmented","nrTP","COB512:250107916",0.0189471623854901,0.00347240249729613,-0.0511901413580454,2.54883391100283,7.22500360167958,4.78188483134645,0.0101754375986135,-0.0589349956166057,-0.100985248967709,0.130037877520384
"IITAaugmented","nrTP","COB517:250107949",-0.0239779359273858,-0.0490901562790119,0.0414558368788426,0.877176385602275,4.15374899545807,-6.6959299020197,0.0135053418233913,0.201860184241927,0.0946174381699897,0.271354779640392
"IITAaugmented","nrTP","COB524:250107937",-0.1192637569719,-0.0639234462657246,-0.126740326079312,0.32588216540379,4.29632169612264,0.104484746957483,0.0149199511015917,0.101802569859554,0.0364187097038396,0.138357911742441
"IITAaugmented","nrTP","COB528:250107939",0.0522907398629744,-0.0155048155406214,-0.248676813603863,1.64981044438718,-6.51598516835359,-5.56038701466683,0.0124460272908896,0.116373717866133,0.105948090846813,0.15791411633647
"IITAaugmented","nrTP","COB536:250134468",0.0269769021281912,0.0710555492580831,-0.24306627235461,3.41883573262014,4.27416819251829,-4.28530230752516,0.0331038959492094,0.0985850010118375,-0.0516880225148692,0.144506907458124
"IITAaugmented","nrTP","COB54:250107982",0.0296576048245648,0.0689030121919318,-0.233058191288574,3.21067777287081,5.54732021451242,-3.20290784975955,0.0272691302361233,0.103199630310824,-0.0358392069603508,0.156789424437321
"IITAaugmented","nrTP","COB544:250107930",-0.112923770803672,-0.06205132407956,-0.132662005124033,0.362955727464892,4.28507973708947,-0.053285105081027,0.0162055192354652,0.112469046719157,0.0445252139019114,0.155143923322648
